Date,Price,Total Volume,Market Cap
2022-09-05 05:30:00,1578.9493013433012,7827505125.483585,190082046955.22556
2022-09-06 05:30:00,1617.9354554854337,11815125728.969868,194714097035.8242
2022-09-07 05:30:00,1564.5589540302462,20860201644.41259,188733785486.0839
2022-09-08 05:30:00,1629.8832311636493,18560005397.32841,196797197824.30237
2022-09-09 05:30:00,1635.9321760130483,16676188643.15121,196882691710.49237
2022-09-10 05:30:00,1717.0769569840472,19418675070.680107,206873029263.2678
2022-09-11 05:30:00,1779.5190288833046,12521808520.701172,214315849498.72748
2022-09-12 05:30:00,1761.317355880691,11692754175.395372,211895058510.3476
2022-09-13 05:30:00,1710.1642908515214,16770566236.30973,205793007270.87155
2022-09-14 05:30:00,1573.2052136951713,22286700927.338142,189778580452.97882
2022-09-15 05:30:00,1635.3682061921256,17198033718.180206,196550513818.88647
2022-09-16 05:30:00,1471.999592516298,24787864366.63655,177918273632.48117
2022-09-17 05:30:00,1432.215807478607,17892819034.618076,172471655154.62585
2022-09-18 05:30:00,1471.2039553630448,10309763882.142286,177299639477.4967
2022-09-19 05:30:00,1335.8525523850524,14696599277.019012,161378107849.57123
2022-09-20 05:30:00,1379.920704526258,17757533838.1638,166370229681.14825
2022-09-21 05:30:00,1324.1905646155858,13605986462.228132,159844149938.74484
2022-09-22 05:30:00,1252.7745621685783,18732743241.62821,151084586604.48166
2022-09-23 05:30:00,1330.7927929218301,17517188721.084026,160415097114.1742
2022-09-24 05:30:00,1329.558806730321,17599766731.24086,160823914264.80762
2022-09-25 05:30:00,1318.099347021849,11251326609.48999,159030822515.26553
2022-09-26 05:30:00,1294.0750952797787,10552647869.67358,156146367767.27133
2022-09-27 05:30:00,1335.1212051991713,15270197375.846754,160767471777.8733
2022-09-28 05:30:00,1331.1501769338627,16685874856.004007,160800122124.8998
2022-09-29 05:30:00,1340.0230594816517,16571161476.253872,161716193676.29504
2022-09-30 05:30:00,1335.7389706335669,11834328252.392088,161267455734.36823
2022-10-01 05:30:00,1329.1460320707963,11849125783.759304,160462955554.32846
2022-10-02 05:30:00,1311.2633244162857,5052407840.714767,158410068981.48102
2022-10-03 05:30:00,1277.901345279672,6227268235.758528,154934842225.90906
2022-10-04 05:30:00,1323.5040179722914,8749663554.66095,159951067075.9052
2022-10-05 05:30:00,1363.2371821945037,8587836597.469869,164781680358.15567
2022-10-06 05:30:00,1352.5865243024869,8502549881.905833,163475522281.134
2022-10-07 05:30:00,1351.4273691979538,10653358724.953413,163307579801.84253
2022-10-08 05:30:00,1324.8947380290601,9123112355.727316,160084472602.33664
2022-10-09 05:30:00,1315.857799905668,4942603337.902456,159083423929.71472
2022-10-10 05:30:00,1322.2697552193713,4753165267.937541,159586330117.54977
2022-10-11 05:30:00,1291.0816596695552,7492362032.739503,156180434676.1384
2022-10-12 05:30:00,1279.8833075472612,8314705467.191551,154657511483.1829
2022-10-13 05:30:00,1294.2710513882173,7512521119.536691,156488571589.45505
2022-10-14 05:30:00,1288.1640147020812,15374968702.824959,155703285133.85605
2022-10-15 05:30:00,1297.6276053223842,11792024290.983032,156801885520.45496
2022-10-16 05:30:00,1275.6937773947975,5743906844.859241,154496140301.9263
2022-10-17 05:30:00,1306.943118828839,6318629607.96271,157219790372.87076
2022-10-18 05:30:00,1333.4408776301655,8639535764.06259,160690333948.33112
2022-10-19 05:30:00,1311.8067255158232,9536615488.397163,158082173402.60727
2022-10-20 05:30:00,1284.654933702257,8128527355.67816,154808369275.81442
2022-10-21 05:30:00,1282.0426467759612,8816030159.087742,154512893268.0924
2022-10-22 05:30:00,1299.8019052506386,8731620089.4909,156673724237.28812
2022-10-23 05:30:00,1313.767778723105,4996733236.216461,158365108378.3375
2022-10-24 05:30:00,1364.4868713063736,7794024007.581724,164218113409.75653
2022-10-25 05:30:00,1343.334491985092,10789079575.113602,161858058865.06808
2022-10-26 05:30:00,1462.0489375629863,19624530679.956947,176051206695.99817
2022-10-27 05:30:00,1568.7475855708392,24505395072.046234,189173389239.5451
2022-10-28 05:30:00,1514.8635252533977,17752430680.403706,182723289741.9848
2022-10-29 05:30:00,1555.0292135813938,15641652314.210123,187324850268.18915
2022-10-30 05:30:00,1619.4295836277443,17044927217.751923,195052502985.67032
